STATE00,COUNTY00,TRACT00,GEOID00,POP00,HU00,PART00,AREA00,AREALAND00,STATE10,COUNTY10,TRACT10,GEOID10,POP10,HU10,PART10,AREA10,AREALAND10,AREAPT,AREALANDPT,AREAPCT00PT,AREALANDPCT00PT,AREAPCT10PT,AREALANDPCT10PT,POP10PT,POPPCT00,POPPCT10,HU10PT,HUPCT00,HUPCT10
13,15,961000,13015961000,8415,2917,P,179863764,177413571,13,15,960300,13015960300,6647,2511,P,159625738,158881346,10010,0,0.01,0,0.01,0,0,0,0,0,0,0
13,17,960100,13017960100,2286,1100,P,301631660,297130030,13,69,10100,13069010100,3553,1628,P,330568073,320347450,10240,10240,0,0,0,0,0,0,0,0,0,0
13,17,960500,13017960500,5825,2670,P,78738512,76954815,13,155,950200,13155950200,7153,2949,P,626745563,613088760,3828,3828,0,0,0,0,0,0,0,0,0,0
13,19,970600,13019970600,3500,1551,P,128396735,126140966,13,185,10101,13185010101,4321,1702,P,60320756,59321760,33425,33425,0.03,0.03,0.06,0.06,0,0,0,0,0,0
13,21,10800,13021010800,1315,1058,P,1804974,1750118,13,21,11900,13021011900,2167,1225,P,3552277,3441259,115283,111237,6.39,6.36,3.25,3.23,0,0,0,0,0,0
13,21,10800,13021010800,1315,1058,P,1804974,1750118,13,21,13700,13021013700,3233,1392,P,3167172,3135513,398,398,0.02,0.02,0.01,0.01,0,0,0,0,0,0
13,21,11000,13021011000,4972,2741,P,14389073,14003939,13,21,11900,13021011900,2167,1225,P,3552277,3441259,387534,282312,2.69,2.02,10.91,8.2,0,0,0,0,0,0
13,21,11000,13021011000,4972,2741,P,14389073,14003939,13,21,12000,13021012000,4330,2091,P,8752953,8520349,7299,7299,0.05,0.05,0.08,0.09,0,0,0,0,0,0
13,21,11000,13021011000,4972,2741,P,14389073,14003939,13,21,13800,13021013800,1931,892,P,4643655,4402171,2527,2527,0.02,0.02,0.05,0.06,0,0,0,0,0,0
13,21,11100,13021011100,2240,1263,P,3837687,3757013,13,21,11701,13021011701,2539,1009,P,4222535,4217290,41,41,0,0,0,0,0,0,0,0,0,0
13,21,11300,13021011300,1135,408,P,3897319,3655835,13,21,11000,13021011000,4972,2741,P,14225604,13859553,996,996,0.03,0.03,0.01,0.01,0,0,0,0,0,0
13,21,11300,13021011300,1135,408,P,3897319,3655835,13,21,13900,13021013900,2070,976,P,98303860,95858865,56806,56806,1.46,1.55,0.06,0.06,0,0,0,0,0,0
13,21,12000,13021012000,4330,2091,P,8982612,8662119,13,21,11000,13021011000,4972,2741,P,14225604,13859553,232895,146756,2.59,1.69,1.64,1.06,0,0,0,0,0,0
13,21,12000,13021012000,4330,2091,P,8982612,8662119,13,21,11800,13021011800,3625,1861,P,4537262,4527992,2249,2249,0.03,0.03,0.05,0.05,0,0,0,0,0,0
13,21,12000,13021012000,4330,2091,P,8982612,8662119,13,21,11900,13021011900,2167,1225,P,3552277,3441259,1814,64,0.02,0,0.05,0,0,0,0,0,0,0
13,21,12100,13021012100,6934,3394,P,12105146,12105146,13,21,13407,13021013407,4229,1955,P,7887941,7870291,4000,4000,0.03,0.03,0.05,0.05,0,0,0,0,0,0
13,21,12500,13021012500,3428,1413,P,3476759,3467476,13,21,12400,13021012400,4305,1859,P,4506815,4471881,4044,4044,0.12,0.12,0.09,0.09,0,0,0,0,0,0
13,21,12500,13021012500,3428,1413,P,3476759,3467476,13,21,13201,13021013201,6034,2624,P,11378688,11222800,16065,16065,0.46,0.46,0.14,0.14,0,0,0,0,0,0
13,21,12600,13021012600,4171,1902,P,6833553,6796435,13,21,13202,13021013202,2952,1424,P,4721987,4704264,19576,19576,0.29,0.29,0.41,0.42,0,0,0,0,0,0
13,21,12800,13021012800,3260,1442,P,2074233,2074233,13,21,12600,13021012600,4171,1902,P,6857585,6820467,6684,6684,0.32,0.32,0.1,0.1,0,0,0,0,0,0
13,21,12900,13021012900,1837,881,P,2067805,2067805,13,21,12600,13021012600,4171,1902,P,6857585,6820467,7304,7304,0.35,0.35,0.11,0.11,0,0,0,0,0,0
13,21,13000,13021013000,1092,535,P,44830454,43608800,13,21,12600,13021012600,4171,1902,P,6857585,6820467,11159,11159,0.02,0.03,0.16,0.16,0,0,0,0,0,0
13,21,13201,13021013201,6034,2624,P,11390125,11234237,13,21,12500,13021012500,3428,1413,P,3484152,3474869,27502,27502,0.24,0.24,0.79,0.79,0,0,0,0,0,0
13,21,13202,13021013202,2927,1417,P,4714466,4696743,13,21,12600,13021012600,4171,1902,P,6857585,6820467,18461,18461,0.39,0.39,0.27,0.27,0,0,0,0,0,0
13,21,13401,13021013401,9725,4226,P,39811536,38997444,13,21,12200,13021012200,2341,1070,P,3767219,3729591,91,91,0,0,0,0,0,0,0,0,0,0
13,21,13402,13021013402,12686,5741,P,34378374,33963006,13,21,12102,13021012102,4673,2506,P,7419503,7419503,148,148,0,0,0,0,0,0,0,0,0,0
13,21,13501,13021013501,10689,4360,P,49380220,49063193,13,21,13502,13021013502,1927,879,P,57480385,56675867,8295,3067,0.02,0.01,0.01,0.01,0,0,0,0,0,0
13,21,13502,13021013502,1927,879,P,57516183,56716893,13,21,13900,13021013900,2070,976,P,98303860,95858865,44093,44093,0.08,0.08,0.04,0.05,0,0,0,0,0,0
13,21,13601,13021013601,11467,4891,P,101482844,94141608,13,21,13409,13021013409,4143,1703,P,14005916,13431947,3588,2655,0,0,0.03,0.02,0,0,0,0,0,0
13,21,13601,13021013601,11467,4891,P,101482844,94141608,13,79,70100,13079070100,3651,1598,P,388496725,386972012,80313,56520,0.08,0.06,0.02,0.01,0,0,0,0,0,0
13,21,13602,13021013602,9251,3253,P,113321155,112799426,13,21,13101,13021013101,6119,2325,P,8524461,8499486,1290,1290,0,0,0.02,0.02,0,0,0,0,0,0
13,23,990100,13023990100,4828,2059,P,327254587,322800556,13,23,790300,13023790300,5563,2037,P,85235906,83520009,12963,12963,0,0,0.02,0.02,0,0,0,0,0,0
13,23,990100,13023990100,4828,2059,P,327254587,322800556,13,175,950600,13175950600,2077,840,P,197975192,196403803,795,795,0,0,0,0,0,0,0,0,0,0
